ID,gender,strain, the number of alive littermates,birth parity,the year-season at birth,lg,birth weight ,AGE,BF
17398,2,18,3,1,414,46,1,155.3265385,14.20585198
17687,2,1,2,1,414,47,1.7,140.4751852,15.09645777
17385,2,18,1,1,414,48,1.4,151.2569118,13.16831683
17397,2,31,1,1,414,44,1,163.4273967,13.25630175
17749,2,18,2,1,114,42,1.5,136.3033495,13.82113127
17656,2,31,2,1,414,26,1.9,143.8418739,13.905621
17422,2,31,2,1,414,49,1.4,165.7184188,12.81012338
17396,2,18,3,1,414,46,1.3,157.899252,12.67335092
17686,2,31,1,1,414,40,1.9,142.5219063,15.3029703
17655,2,31,2,1,414,26,1.7,140.654611,12.23541701
17685,2,1,2,1,414,47,1.2,133.9882759,14.04642857
17709,2,18,2,1,414,50,1.6,134.3294144,12.53962139
17715,2,31,2,1,414,21,1.5,133.7432098,13.94895035
17307,2,31,1,1,414,28,1.5,153.3876422,12.91088041
17796,2,18,1,1,114,51,1.7,120.8736268,14.40936281
17346,2,18,1,1,414,52,1.4,153.4627941,12.34059406
3395,2,18,1,1,114,45,2,124.5055172,13.17397959
17321,2,18,1,1,414,53,1.3,153.3606522,13.73195876
17779,2,1,2,1,114,54,1.4,130.7013939,13.28108958
17306,2,31,1,1,414,28,1.6,159.8386641,14.18262603
17395,2,31,2,1,414,55,1,157.899252,11.79102902
17778,2,1,1,1,114,56,1.7,122.0640179,14.27027027
17758,2,1,1,1,114,57,1.4,133.1432197,13.88929068
3402,2,1,1,1,114,58,1.3,133.7298148,14.74958943
17757,2,1,1,1,114,57,1.8,131.9285387,13.89833534
17394,2,31,2,1,414,55,1.2,156.426655,12.43816418
17777,2,1,1,1,114,56,1.5,123.3117014,14.57560976
17776,2,1,2,1,114,54,1.6,128.0601613,12.6198406
17775,2,1,1,1,114,56,1.7,129.5153752,14.33547053
17756,2,1,1,1,114,57,1.5,127.7515897,12.37522124
17764,2,18,1,1,114,59,1.7,132.9336246,14.57410198
17801,2,31,2,1,114,60,2.1,123.8936325,13.35332055
17421,2,1,1,1,414,61,1.6,162.2531743,12.97041712
17528,2,1,1,1,414,62,1.1,164.0020406,14.16008508
17466,2,31,1,1,414,20,1.4,161.4449145,12.29079405
17434,2,31,1,1,414,63,1.6,162.2887458,13.99380037
17534,2,18,1,1,414,64,1.7,163.162619,12.91017127
17493,2,31,1,1,414,65,1.3,163.9480189,13.46195426
17505,2,31,2,1,414,66,1.4,155.2826732,12.19587021
17555,2,31,1,1,414,67,1.6,168.2180303,12.31250461
17504,2,31,2,1,414,66,1.2,157.9573112,13.93906486
17503,2,18,1,1,414,22,1.6,150.2358333,13.69690977
17452,2,31,2,1,414,68,1.4,154.7496457,13.47546174
17465,2,31,2,1,414,69,1.2,158.5691667,12.25957973
17544,2,1,1,1,414,29,1.9,146.8984711,12.16559338
17543,2,18,1,1,414,32,1.3,147.7358333,13.18961681
17589,2,31,2,1,414,70,1.6,148.6825439,10.81633182
17618,2,1,2,1,414,31,2.1,167.0307895,13.83194178
17617,2,1,2,1,414,31,1.6,165.5262266,14.71079137
17532,2,18,1,1,414,64,1.8,154.5629821,12.39728791
17531,2,18,1,1,414,64,1.7,163.8298004,14.24847512
17451,2,1,1,1,414,71,1.2,153.9032813,12.89965076
17420,2,1,1,1,414,61,1.4,158.083,14.48997322
17457,2,31,2,1,414,72,1,155.7577419,14.2705036
17433,2,31,1,1,414,73,1.2,154.6845313,14.73108265
17450,2,1,1,1,414,74,1.5,162.0326471,13.46272189
17456,2,31,2,1,414,72,1.1,164.315,13.8954677
17448,2,1,1,1,414,74,1.1,160.2156617,13.60233236
17447,2,1,1,1,414,74,1.4,162.0326471,12.61065089
17478,2,31,2,1,414,75,1.4,156.8731152,13.76381812
17530,2,18,1,1,414,64,1.9,152.470409,12.08692545
17446,2,31,2,1,414,68,1.2,175.2980798,12.88764829
17521,2,1,1,1,414,62,1.5,161.5523106,14.36495132
17464,2,1,1,1,414,76,1.7,160.7124138,14.13367347
17471,2,31,1,1,414,77,1.1,160.3635166,12.88152209
17463,2,1,1,1,414,76,1.8,164.1636679,13.09262537
17462,2,1,1,1,414,76,1.3,166.8373433,12.5424795
17445,2,31,2,1,414,68,1.1,173.8445113,13.32099448
17520,2,1,1,1,414,62,1.5,163.661866,12.96178186
17501,2,18,1,1,414,22,1.9,161.8434369,14.38505707
17519,2,31,2,1,414,78,1.6,163.661866,14.21926816
17578,2,31,2,1,414,79,1.6,176.2857865,13.67444128
17608,2,30,1,1,414,80,1.6,158.2112598,14.38962536
17542,2,1,1,1,414,81,1.8,158.5960507,14.33547053
17607,2,30,1,1,414,80,1.7,145.5293106,12.08745566
17640,2,31,1,1,414,82,1.4,155,14.2
17606,2,30,1,1,414,80,1.8,157.2296341,14.86053243
17639,2,31,1,1,414,82,1.3,153.29,13.99538905
17627,2,31,2,1,414,83,1.3,154.8316667,14.33797559
17626,2,31,2,1,414,83,1.2,141.5828141,13.24011461
17638,2,31,1,1,414,82,1.5,149.2417045,13.88929068
17641,2,31,1,1,414,41,1.1,139.5837063,14.31627907
17604,2,30,1,1,414,80,1.6,158.7641592,13.46466437
17625,2,31,2,1,414,83,1.2,151.5338213,14.03321703
17637,2,31,1,1,414,82,1.6,139.8616437,13.24011461
17636,2,31,1,1,414,82,1.7,141.1663089,14.29319574
17599,2,18,1,1,414,25,1.2,141.7044295,11.57014925
17635,2,31,1,1,414,82,1.7,139.8616437,13.32722063
17584,2,31,2,1,414,84,1,148.7230357,13.15731225
17575,2,31,2,1,414,79,1.8,174.8427778,13.64698311
17616,2,1,2,1,414,31,1.4,143.220675,13.22958486
17541,2,1,1,1,414,29,1.8,146.0691667,11.4986403
17615,2,1,2,1,414,31,1.2,143.220675,11.83699698
17597,2,18,1,1,414,25,1.4,145.0130903,13.34634146
17583,2,1,1,1,414,27,1.6,148.1778774,13.18230088
17540,2,1,1,1,414,29,1.8,149.3280809,12.36905444
17623,2,42,1,1,414,85,2,145.9555888,13.68675333
17596,2,30,1,1,414,80,1.3,141.8645798,13.8035503
17240,1,31,3,1,414,86,1.5,156.0957692,12.08674699
17267,1,18,2,1,414,87,1.6,164.5536555,10.39526627
17278,1,1,2,1,414,88,1.1,148.3018613,10.76164982
17266,1,31,1,1,414,89,1.5,160.711748,15.2872244
17320,1,42,2,1,414,90,1.6,159.2951653,11.57828887
17393,1,18,3,1,414,46,1.3,150.0538889,11.87808624
17371,1,31,1,1,414,24,1.7,148.4034615,11.06643718
17370,1,31,1,1,414,24,1.5,148.4034615,14.28433735
17367,1,1,2,1,414,39,1.6,146.8581818,11.9158371
17342,1,18,1,1,414,52,1.7,142.5471429,12.01027837
17391,1,31,2,1,414,55,1.2,150.883,11.23379946
17364,1,31,1,1,414,91,1.5,143.9039706,8.277227723
3144,2,18,1,1,414,48,1.2,132.7333594,14.09617272
3110,2,18,1,1,414,92,1.4,138.805,18.25830406
17303,2,31,1,1,414,28,1.7,145.4042857,10.39914347
3147,2,18,3,1,414,46,1.1,156.0691667,20.96810878
3162,2,31,2,1,414,49,1.4,144.5854545,14.54660633
3139,2,31,1,1,414,91,1.3,157.7358333,12.42867738
3289,2,42,1,1,414,85,1.8,144.5134252,10.82849604
17574,2,31,2,1,414,79,1.5,146.4811479,11.34545455
3258,2,31,1,1,414,93,1.4,146.8684884,11.54163537
3260,2,31,2,1,414,79,1.3,142.9502853,12.35266405
3256,2,31,1,1,414,93,1.7,159.0976087,10.64146577
3290,2,42,1,1,414,85,2.1,146.083,11.88503422
17539,2,1,1,1,414,29,1.8,166.9468182,11.08693905
17573,2,31,2,1,414,79,1.7,168.8769048,8.702411744
17582,2,1,1,1,414,27,1.5,135.6352797,9.979113094
3267,2,1,1,1,414,27,1.6,149.306129,11.07194245
3259,2,31,2,1,414,79,1.7,139.5925362,11.95051546
3243,2,1,1,1,414,29,1.5,143.1923723,12.85419284
17538,2,1,1,1,414,29,1.3,165.8609459,11.26748589
3266,2,31,2,1,414,70,1.4,157.3584783,9.937897782
3261,2,1,1,1,414,27,1.3,140.9924648,16.3773313
3299,2,18,1,1,414,23,1.3,145.2358333,11.16044499
3315,2,1,2,1,414,35,1.5,157.4469767,17.00284091
17669,2,31,1,1,414,94,2.1,130.7836131,9.565910953
3355,2,31,2,1,414,21,1.4,147.8963084,10.62068018
17725,2,31,2,1,114,95,1.2,153,11
3331,2,18,1,1,414,96,1.3,133.3872222,15.91825162
17708,2,18,2,1,414,50,1.6,156.5506784,19.48903984
3369,2,31,2,1,114,34,1.2,148.9247087,14.01579509
3350,2,18,2,1,414,50,1.4,143.3928761,20.46860503
3313,2,1,2,1,414,35,1.3,164.543866,13.16076663
17745,2,18,2,1,114,42,1.4,141.4922727,16.0348292
17678,2,1,2,1,414,35,1.5,149.6447297,19.35463301
3320,2,1,2,1,414,47,1.3,150.621422,17.09422492
17698,2,18,2,1,414,37,1,147.8691284,14.78419453
17744,2,31,2,1,114,38,1.5,180.4983333,14.51857274
17732,2,31,2,1,114,43,1.8,146.0234906,10.9970894
3301,2,18,1,1,414,23,1.5,148.6434483,12.30153061
3341,2,18,1,1,414,96,1.6,146.9516972,13.58297872
3321,2,31,1,1,414,40,1.4,154.5911905,11.95386229
3375,2,31,2,1,114,97,1,162.4424725,12.3125448
17714,2,31,2,1,414,21,1.1,153.924901,10.90039841
3370,2,31,2,1,114,34,1.3,152,10.7
3383,2,31,2,1,114,38,1.5,161.3435714,11.11397849
17743,2,18,2,1,114,42,1.4,153.1343878,12.4271035
17742,2,18,2,1,114,42,1.1,147.953835,12.84781217
