ID,parity, year-season at birth,TNB,NBA, litter weight at birth
3464,1,215,16,16,18.5
3612,1,215,6,6,8.1
3420,2,215,14,14,18.6
3624,1,215,14,14,19.6
3118,2,215,15,12,14.6
3587,1,215,11,7,8
3175,2,215,13,12,17.2
3327,2,215,12,12,18.9
3544,1,215,19,13,16
3547,1,215,10,10,11.2
3283,2,215,19,17,23
3171,2,215,11,11,18.3
3195,2,215,20,15,16.7
3380,1,215,11,11,17.2
3564,1,215,13,9,12.5
3132,2,215,15,14,24.2
3187,2,215,19,17,24.6
3243,2,215,15,15,20.8
3220,2,215,17,16,23.7
3105,2,215,7,6,8.9
3701,1,215,7,7,12
3678,1,215,15,13,14.9
3679,1,215,15,11,17.3
3489,1,215,17,17,21.6
3543,1,215,11,9,13
3533,1,215,17,16,20.6
3100,2,215,13,13,19.7
3631,1,215,12,10,11.3
3664,1,215,14,13,16.7
3659,1,215,16,15,19.2
3645,1,215,14,14,18.6
3745,1,215,13,10,14.7
3680,1,215,12,11,11.8
3315,2,215,9,9,14.6
3213,2,215,14,12,19.4
3768,1,215,15,12,17.6
3117,2,215,16,13,28
3259,2,215,19,19,29.6
3266,2,215,17,16,24.3
3286,2,215,18,12,16.8
3389,2,215,19,18,26.9
3106,2,215,15,15,19.8
3490,1,215,5,5,4.4
3125,2,215,16,16,20.3
3376,2,215,13,13,22.1
3643,1,215,15,15,20
3653,1,215,8,7,8.5
3385,1,215,12,12,19.7
3196,2,215,11,7,5.1
3101,2,215,15,15,20.7
3677,1,215,12,7,10.4
3200,2,215,12,12,15.6
3759,1,215,12,11,14.7
3737,1,215,12,12,18
3630,1,215,14,13,16.8
3742,1,215,12,8,8.6
3290,2,215,16,13,19.9
3639,1,215,17,17,19.6
3723,1,215,9,8,10.8
3370,2,215,4,2,4.5
3364,2,215,16,14,23.1
3825,1,215,16,16,21.2
3817,1,215,15,15,20.8
3884,1,215,17,16,17.7
3619,1,215,8,7,13.2
3384,1,215,19,17,24.1
3401,2,215,13,12,17.5
3652,1,215,11,11,17.4
3562,1,215,17,16,19.2
3780,1,215,19,17,22.4
3183,2,215,4,4,8.5
3112,2,215,15,14,20.8
3651,1,215,13,13,19.1
3563,1,215,18,15,18.6
3387,2,215,16,15,25.9
3176,2,215,19,16,24.4
3059,2,215,18,17,23.1
3367,2,215,13,12,23.2
3108,2,215,11,11,16.5
3321,2,215,11,9,17.7
3871,1,215,11,8,13.8
3333,2,215,23,11,12.8
3697,1,215,16,16,18.8
3484,1,215,9,8,13.8
3635,1,215,13,12,18.4
3875,1,215,17,14,10.7
3826,1,215,14,0,0
3767,1,215,16,13,5.7
3794,1,215,11,6,10
3443,1,215,14,14,22.7
3793,1,215,18,13,16.7
3398,2,215,11,10,17.5
3683,1,215,15,13,8.7
3682,1,215,7,5,8.7
3185,2,215,16,15,8.7
3864,1,215,12,10,8.7
3735,1,215,21,17,8.7
3867,1,215,16,10,8.7
3471,1,215,15,14,8.7
3823,1,215,7,6,8.7
3269,2,215,11,9,8.7
3693,1,215,17,9,20.4
3565,1,215,15,13,24.2
3698,1,215,10,9,18
3869,1,215,13,11,12.9
3667,1,215,15,11,17
3616,1,215,15,14,21.7
3799,1,215,14,13,19.5
3421,2,215,14,11,23.1
3849,1,215,15,14,17.3
3870,1,215,11,11,10.8
3668,1,215,15,12,12.9
3194,2,215,14,14,19.2
3805,1,215,14,13,15.3
3751,1,215,19,18,21.3
3828,1,215,13,13,18
3813,1,215,8,8,14.6
3822,1,215,11,11,12.7
3905,1,215,14,14,12.7
3906,1,215,14,13,18.1
3224,2,215,16,12,19.8
3138,2,215,10,10,16.6
3818,1,215,13,13,19.4
3773,1,215,9,1,1.9
3049,2,215,11,11,21.3
3428,2,215,14,14,19.6
3111,2,215,19,15,23
3246,2,215,14,14,19.2
3426,2,215,18,14,21.8
3473,1,215,13,10,12.2
3787,1,215,9,8,13.5
3405,1,115,7,7,11.5
3440,1,115,10,10,14.4
3812,1,215,11,6,7.9
3391,2,215,15,14,21.3
3821,1,215,17,14,16.1
3509,1,115,7,7,11.1
3145,2,215,16,15,18.7
3167,2,215,17,13,20.1
3102,2,215,19,3,2.8
3216,1,215,16,14,20.2
3463,1,215,11,11,16
3104,2,215,9,8,14.1
3186,2,215,20,17,20.3
3199,2,215,18,14,18.8
3432,1,115,15,13,19.7
3763,1,215,17,16,20.1
3741,1,215,17,14,9.3
3755,1,215,18,15,13.7
3789,1,215,15,13,16.1
3313,2,215,15,15,21.1
3865,1,215,6,0,0
3816,1,215,11,9,11.5
3765,1,215,10,9,15.8
3403,2,215,15,14,16.9
3620,1,215,16,15,20.4
3267,2,215,14,14,22.2
3445,2,215,20,11,16.7
3407,2,215,15,15,22.5
3396,2,215,15,15,22.9
3838,1,215,12,12,19.2
3798,1,215,14,13,18.7
3820,1,215,6,5,7.8
3790,1,215,15,15,22
3874,1,215,15,11,15.5
3835,1,215,15,14,15.3
3493,1,215,15,13,15.9
3746,1,215,13,12,17.1
3430,1,115,8,0,0
3254,1,415,17,16,20.3
3341,2,215,18,16,17.7
3191,2,215,16,13,20.8
3340,2,215,16,15,13.8
3371,2,215,15,14,20.9
3614,1,215,10,8,13.9
3366,2,215,10,10,18.9
3331,2,215,19,13,13.3
3409,2,215,12,12,20.2
3413,2,215,12,12,22.5
3481,1,215,14,14,17.6
3114,2,215,17,17,21.7
3393,2,215,13,12,19
3339,2,215,16,15,21.7
3761,1,215,12,8,13.5
3467,1,215,10,10,16.2
3831,1,215,12,12,18.4
3149,2,215,16,14,24.2
3444,2,215,15,13,21.8
3588,1,215,9,8,18.4
3567,1,215,14,13,17.4
3842,1,215,10,10,18.5
3441,2,215,19,16,22.9
